framework,path,id,creationDate,ownerUserId,postTypeId,acceptedAnswerId
spring-guides,gs-rest-service,20168563,2013-11-23T22:15:02.547,,,
spring-guides,gs-rest-service,22935840,2014-04-08T11:37:56.967,,,
spring-guides,gs-rest-service,23023732,2014-04-11T22:39:01.690,,,
spring-guides,gs-rest-service,25262377,2014-08-12T10:47:43.893,,,
spring-guides,gs-rest-service,26177428,2014-10-03T10:37:04.390,,,
spring-guides,gs-rest-service,31802807,2015-08-04T07:08:14.393,,,
spring-guides,gs-rest-service,35900612,2016-03-09T19:15:12.497,,,
spring-guides,gs-rest-service,36433556,2016-04-05T17:52:21.943,,,
spring-guides,gs-rest-service,37042106,2016-05-05T04:00:34.040,,,
spring-guides,gs-rest-service,38614998,2016-07-27T13:54:40.607,,,
spring-guides,gs-rest-service,39233986,2016-08-30T17:48:28.033,,,
spring-guides,gs-rest-service,39457826,2016-09-12T19:54:52.723,,,
spring-guides,gs-rest-service,39645590,2016-09-22T17:43:46.590,,,
spring-guides,gs-rest-service,41558424,2017-01-09T23:00:55.887,,,
spring-guides,gs-rest-service,46144001,2017-09-10T18:13:53.843,,,
spring-guides,gs-rest-service,50751696,2018-06-08T00:08:07.653,,,
spring-guides,gs-rest-service,55876509,2019-04-27T01:26:32.813,,,
spring-guides,gs-rest-service,66460823,2021-03-03T16:12:25.273,,,
spring-guides,gs-rest-service,69362466,2021-09-28T13:16:09.643,,,
spring-guides,gs-rest-service,70422342,2021-12-20T13:11:31.747,,,
spring-guides,gs-rest-service,73549112,2022-08-30T22:36:13.303,,,
spring-guides,gs-rest-service,73905381,2022-09-30T07:30:50.843,,,
googlesamples,android-custom-lint-rules,47035717,2017-10-31T12:42:03.057,,,
googlesamples,android-custom-lint-rules,55924775,2019-04-30T15:59:36.330,,,
googlesamples,android-custom-lint-rules,56530119,2019-06-10T16:26:55.640,,,
googlesamples,android-custom-lint-rules,59071546,2019-11-27T13:40:25.987,,,
googlesamples,android-custom-lint-rules,70357066,2021-12-15T00:16:05.710,,,
spring-guides,gs-spring-boot,25571843,2014-08-29T15:51:55.370,,,
spring-guides,gs-spring-boot,31599052,2015-07-23T22:20:02.147,,,
spring-guides,gs-spring-boot,40585031,2016-11-14T09:02:52.193,,,
spring-guides,gs-spring-boot,46732371,2017-10-13T14:36:02.720,,,
spring-guides,gs-spring-boot,47197605,2017-11-09T08:57:49.710,,,
spring-guides,gs-spring-boot,51004033,2018-06-23T18:33:52.617,,,
spring-guides,gs-spring-boot,53688433,2018-12-09T00:46:59.503,,,
spring-guides,gs-spring-boot,53816713,2018-12-17T13:56:12.600,,,
spring-guides,gs-spring-boot,54584056,2019-02-07T23:43:51.807,,,
spring-guides,gs-spring-boot,56612726,2019-06-15T17:40:46.270,,,
spring-guides,gs-spring-boot,60142787,2020-02-10T00:47:25.550,,,
spring-guides,gs-spring-boot,60534440,2020-03-04T20:46:36.257,,,
spring-guides,gs-spring-boot,61178105,2020-04-12T21:00:33.943,,,
spring-guides,gs-spring-boot,61991948,2020-05-24T20:18:11.097,,,
spring-guides,gs-spring-boot,63103107,2020-07-26T16:55:30.943,,,
spring-guides,gs-spring-boot,63493379,2020-08-19T19:00:26.063,,,
spring-guides,gs-spring-boot,72010791,2022-04-26T08:33:14.863,,,
spring-guides,gs-spring-boot,75654120,2023-03-06T17:43:41.133,,,
spring-guides,gs-spring-boot,77010283,2023-08-30T17:27:44.437,,,
aws-samples,simple-websockets-chat-app,54761176,2019-02-19T07:54:05.007,,,
aws-samples,simple-websockets-chat-app,58323242,2019-10-10T12:46:28.837,,,
aws-samples,simple-websockets-chat-app,58750463,2019-11-07T14:04:47.247,,,
aws-samples,simple-websockets-chat-app,63712213,2020-09-02T19:16:24.807,,,
aws-samples,simple-websockets-chat-app,67713268,2021-05-26T22:04:34.203,,,
aws-samples,simple-websockets-chat-app,73113237,2022-07-25T17:34:45.370,,,
spring-guides,gs-spring-boot-docker,53688433,2018-12-09T00:46:59.503,,,
spring-guides,gs-spring-boot-docker,56612726,2019-06-15T17:40:46.270,,,
spring-guides,gs-spring-boot-docker,63493379,2020-08-19T19:00:26.063,,,
